baggage_tag,route_type,transfer_count,baggage_volume,route_distance_km,mishandled,complexity_score,distance_group
BG00001,International,1,389,1155,0.0,1155,Short
BG00002,International,0,207,4814,0.0,0,Medium
BG00003,,1,104,3034,0.0,3034,Medium
BG00004,Domestic,2,142,7321,0.0,14642,Long
BG00005,Domestic,2,110,4567,0.0,9134,Medium
BG00006,Domestic,3,251,522,1.0,1566,Short
BG00007,International,0,152,5040,0.0,0,Long
BG00008,Domestic,0,437,2201,0.0,0,Medium
BG00009,Domestic,1,396,6722,0.0,6722,Long
BG00010,International,1,438,7110,0.0,7110,Long
BG00011,Domestic,3,82,3592,0.0,10776,Medium
BG00012,International,1,395,5570,0.0,5570,Long
BG00013,International,2,87,1606,0.0,3212,Short
BG00014,Domestic,3,283,626,1.0,1878,Short
BG00015,International,1,286,456,0.0,456,Short
BG00016,International,2,422,1809,0.0,3618,Short
BG00017,Domestic,3,420,1129,0.0,3387,Short
BG00018,Domestic,1,183,6292,0.0,6292,Long
BG00019,International,1,306,284,0.0,284,Short
BG00020,International,1,441,4658,0.0,4658,Medium
BG00021,International,2,406,4534,0.0,9068,Medium
BG00022,International,1,318,5099,0.0,5099,Long
BG00023,Domestic,3,294,1161,0.0,3483,Short
BG00024,Domestic,1,443,4593,0.0,4593,Medium
BG00025,International,1,232,2559,0.0,2559,Medium
BG00026,International,0,351,4070,0.0,0,Medium
BG00027,Domestic,1,398,6298,1.0,6298,Long
BG00028,International,0,339,4269,0.0,0,Medium
BG00029,Domestic,1,438,4549,0.0,4549,Medium
BG00030,Domestic,2,446,7798,0.0,15596,Long
BG00031,International,2,126,5057,0.0,10114,Long
BG00032,International,0,207,931,0.0,0,Short
BG00033,Domestic,0,195,7339,0.0,0,Long
BG00034,International,2,154,6084,1.0,12168,Long
BG00035,International,1,119,299,0.0,299,Short
BG00036,International,1,243,6102,0.0,6102,Long
BG00037,International,0,275,1179,0.0,0,Short
BG00038,Domestic,1,441,7246,0.0,7246,Long
BG00039,International,2,288,3855,0.0,7710,Medium
BG00040,Domestic,3,264,681,0.0,2043,Short
BG00041,Domestic,3,402,6861,0.0,20583,Long
BG00042,Domestic,1,353,7726,0.0,7726,Long
BG00043,Domestic,1,426,4659,0.0,4659,Medium
BG00044,International,2,229,8340,0.0,16680,Long
BG00045,International,3,199,5690,0.0,17070,Long
BG00046,International,3,410,6766,0.0,20298,Long
BG00047,Domestic,1,323,2653,1.0,2653,Medium
BG00048,Domestic,2,176,3822,0.0,7644,Medium
BG00049,International,1,331,8083,0.0,8083,Long
BG00050,International,0,143,1201,0.0,0,Short
BG00051,International,1,104,3914,0.0,3914,Medium
BG00052,International,0,162,1321,0.0,0,Short
BG00053,Domestic,1,374,3148,0.0,3148,Medium
BG00054,International,3,189,2925,0.0,8775,Medium
BG00055,Domestic,3,408,4729,0.0,14187,Medium
BG00056,Domestic,0,390,506,0.0,0,Short
BG00057,Domestic,1,322,8034,0.0,8034,Long
BG00058,International,1,282,1426,0.0,1426,Short
BG00059,International,2,394,905,0.0,1810,Short
BG00060,Domestic,3,299,3447,0.0,10341,Medium
BG00061,Domestic,1,429,8233,0.0,8233,Long
BG00062,Domestic,2,116,4246,0.0,8492,Medium
BG00063,International,1,211,4722,0.0,4722,Medium
BG00064,International,2,218,4913,1.0,9826,Medium
BG00065,International,1,270,5824,0.0,5824,Long
BG00066,International,3,376,8305,1.0,24915,Long
BG00067,International,3,171,7483,1.0,22449,Long
BG00068,International,2,115,545,0.0,1090,Short
BG00069,International,1,430,474,0.0,474,Short
BG00070,Domestic,2,252,3466,0.0,6932,Medium
BG00071,International,2,273,1753,0.0,3506,Short
BG00072,Domestic,0,173,2376,0.0,0,Medium
BG00073,International,0,115,2774,0.0,0,Medium
BG00074,Domestic,0,438,2426,0.0,0,Medium
BG00075,Domestic,1,313,6063,0.0,6063,Long
BG00076,International,1,205,6476,1.0,6476,Long
BG00077,International,0,293,3140,,0,Medium
BG00078,International,3,395,5920,0.0,17760,Long
